,activity_date,total_supply,total_locked,foundation_locked,lockups_locked_tokens,total_unlocked,total_staked,total_liquid,pct_stake_change
410,2021-11-24,1055320565.4873801,444110629.1123766,47044008.62205073,444110629.1123766,564165927.7529528,421084902.98663497,143081024.76631784,-0.013675707886591226
411,2021-11-25,1055468975.6063917,443658027.42950666,47044008.62205073,443658027.42950666,564766939.5548342,420725477.398261,144041462.15657324,-0.08542995556071276
412,2021-11-26,1055616887.7350531,443356934.00909716,47044008.62277486,443356934.00909716,565215945.1031811,420960071.8951262,144255873.2080549,0.05572844374742658
413,2021-11-27,1055764860.5315056,442904335.859152,47044008.62277486,442904335.859152,565816516.0495787,421100956.2279522,144715559.82162648,0.033456189244489565
414,2021-11-28,1055912776.2641659,442451731.7494477,47044008.62277486,442451731.7494477,566417035.8919433,421375413.19711846,145041622.69482487,0.06513359834734445
415,2021-11-29,1056060043.9463443,441999132.89996916,47044008.62277486,441999132.89996916,567016902.4236002,421814063.474839,145202838.94876122,0.10399138286358323
416,2021-11-30,1056209352.3923552,441546530.80210704,47044008.62277486,441546530.80210704,567618812.9674734,421779464.2945012,145839348.6729722,-0.00820314483438267
417,2021-12-01,1056358048.8647467,441103932.6502193,47044008.61906574,441103932.6502193,568210107.5954617,421644376.3998997,146565731.195562,-0.032038348466741695
418,2021-12-02,1056504307.876131,441111821.2016324,46544008.584210165,441111821.2016324,568848478.0902885,421542108.970676,147306369.11961251,-0.024260311614753505
419,2021-12-03,1056651585.4866129,440656480.81027454,46544008.584210165,440656480.81027454,569451096.0921283,421313870.00347877,148137226.0886495,-0.05417314345605462
420,2021-12-04,1056799952.5769609,440201140.0901487,46544008.584210165,440201140.0901487,570054803.9026021,421902747.65058535,148152056.25201672,0.13957663238407747
421,2021-12-05,1056948111.5751139,439745800.2760083,46544008.584210165,439745800.2760083,570658302.7148954,421857046.1922786,148801256.52261674,-0.010833399304161162
422,2021-12-06,1057095657.3145587,439307341.6214449,46544008.58493231,439307341.6214449,571244307.1081816,421289993.906496,149954313.2016856,-0.13459903961272346
423,2021-12-07,1057245862.2342591,438851966.765807,46544008.58165496,438851966.765807,571849886.8867973,421384965.8754027,150464921.01139462,0.022538053466007568
424,2021-12-08,1057395314.9534295,438410817.05990034,46024008.579944104,438410817.05990034,572960489.313585,410967439.0068226,161993050.30676246,-2.53487889302275
425,2021-12-09,1057542991.9381338,437955429.7533905,46024008.579944104,437955429.7533905,573563553.6047993,410922240.31286675,162641313.29193252,-0.010999330170463395
426,2021-12-10,1057691834.9568708,437500575.3518476,46024008.5806663,437500575.3518476,574167251.024357,410939695.19278413,163227555.83157283,0.004247552651051478
427,2021-12-11,1057764733.7698019,437045186.8728217,46024008.5806663,437045186.8728217,574695538.3163139,410875189.01983774,163820349.29647613,-0.015699700218036128
428,2021-12-12,1057912927.9712062,436589800.00924104,46024008.5806663,436589800.00924104,575299119.3812988,411754585.1926045,163544534.1886943,0.21357289132684798
429,2021-12-13,1058061907.7108668,431834410.31313044,46024008.5806663,431834410.31313044,580203488.81707,411695594.23095244,168507894.58611757,-0.01432878138088256
430,2021-12-14,1058214227.1800286,431379021.9875725,46024008.58138786,431379021.9875725,580811196.6110682,412399059.5534359,168412137.05763233,0.1705787892060755
431,2021-12-15,1058364098.9341592,430923631.67877036,46024008.58138786,430923631.67877036,581416458.674001,412310552.86486816,169105905.8091328,-0.02146602553652599
432,2021-12-16,1058512161.637983,430850698.22120976,45540598.57278435,430850698.22120976,582120864.8439889,411405503.7342367,170715361.10975218,-0.21998955347378057
433,2021-12-17,1058655679.4678595,430395043.9518157,45540598.57193365,430395043.9518157,582720036.9441102,417269635.50201046,165450401.4420997,1.4053578954334114
434,2021-12-18,1058777006.8600601,429939389.0780775,45540598.571178555,429939389.0780775,583297019.210804,417440982.526213,165856036.684591,0.04104700577445897
435,2021-12-19,1058835579.2844603,429483733.3812761,35540598.57010984,429483733.3812761,593811247.3330743,419298152.93209803,174513094.4009763,0.44292358382647024
436,2021-12-20,1058966698.0262836,429028075.54236835,35540598.57010984,429028075.54236835,594398023.9138055,417270235.7713052,177127788.14250028,-0.4859961212053179
437,2021-12-21,1059127951.6600996,428572415.70418996,35540598.566849545,428572415.70418996,595014937.3890603,417984083.3418148,177030854.04724544,0.17078343385765038
438,2021-12-22,1059210394.160239,428116756.392451,35540598.566849545,428116756.392451,595553039.2009385,418098308.2005687,177454731.0003698,0.027320095899327157
439,2021-12-23,1059378979.7367134,428080540.63308936,34915598.56215204,428080540.63308936,596382840.541472,419457850.59374887,176924989.9477231,0.3241189528949633
440,2021-12-24,1059546083.723338,427623685.5942714,34915598.56215204,427623685.5942714,597006799.5669147,414265189.4511053,182741610.11580938,-1.2534630654156018
441,2021-12-25,1059630114.7719423,427166831.1051426,34915598.56215204,427166831.1051426,597547685.1046476,414134877.9037581,183412807.20088953,-0.03146596780420907
442,2021-12-26,1059798651.8069565,426709974.4724879,34915598.56215204,426709974.4724879,598173078.7723166,413742970.4074849,184430108.3648317,-0.09472245435064508
443,2021-12-27,1059968224.4987617,426253114.5293459,34915598.55888762,426253114.5293459,598799511.4105282,425824970.5317756,172974540.8787526,2.837316024281648
444,2021-12-28,1060052746.7342942,429600390.9454069,31101132.551052663,429600390.9454069,599351223.2378346,426009977.42624545,173341245.81158912,0.04342783133569128
445,2021-12-29,1060223875.2000021,430647945.42554045,29588969.54423648,430647945.42554045,599986960.230225,430842693.25974905,169144266.9704759,1.1216891708060217
